rank,university,domain
1,Massachusetts Institute of Technology,mit.edu
2,Stanford University,stanford.edu
3,University of Cambridge,cam.ac.uk
4,ETH Zurich,ethz.ch
5,Nanyang Technological University,ntu.edu.sg
6,Imperial College London,imperial.ac.uk
7,National University of Singapore,nus.edu.sg
8,University of Tokyo,u-tokyo.ac.jp
8,University of Oxford,ox.ac.uk
10,Tsinghua University,tsinghua.edu.cn
11,University of California--Berkeley,berkeley.edu
12,École polytechnique fédérale de Lausanne,epfl.ch
13,Harvard University,harvard.edu
14,Tokyo Institute of Technology,titech.ac.jp
15,Korea Advanced Institute of Science & Technology,kaist.ac.kr
16,Seoul National University,snu.ac.kr
17,Politecnico di Milano,polimi.it
18,The Hong Kong University of Science and Technology,hkust.edu.hk
19,National Taiwan University,ntu.edu.tw
20,Peking University,pku.edu.cn
21,Kyoto University,kyoto-u.ac.jp
22,Delft University of Technology,tudelft.nl
23,Universiti Malaya,um.edu.my
24,Georgia Institute of Technology,gatech.edu
25,Technical University of Munich,tum.de
26,California Institute of Technology,caltech.edu
27,University of Melbourne,unimelb.edu.au
27,University of New South Wales,unsw.edu.au
29,Shanghai Jiao Tong University,sjtu.edu.cn
30,University of Hong Kong,hku.hk
31,Carnegie Mellon University,cmu.edu
31,RWTH Aachen University,rwth-aachen.de
33,National Tsing Hua University,nthu.edu.tw
33,Politecnico di Torino,polito.it
35,University of California--Los Angeles,ucla.edu
36,Monash University,monash.edu
36,Zhejiang University,zju.edu.cn
38,Princeton University,princeton.edu
39,Technische Universität Berlin,tu-berlin.de
39,University of Sydney,sydney.edu.au
41,KTH Royal Institute of Technology,kth.se
41,The Chinese University of Hong Kong,cuhk.edu.hk
43,University of Toronto,utoronto.ca
44,Osaka University,osaka-u.ac.jp
44,Pohang University of Science And Technology,postech.ac.kr
46,The Australian National University,anu.edu.au
46,University of Illinois at Urbana-Champaign,illinois.edu
48,Korea University,korea.edu
48,National Chiao Tung University,nctu.edu.tw
48,Tohoku University,tohoku.ac.jp
